n_qubits,mean_runtime,std_runtime,mean_fidelity,device
2,0.12448657420001155,0.2466022224055431,0.2519240498542786,cuda
4,0.0011359292000008737,5.8925701975064213e-05,0.0462512694299221,cuda
6,0.0011091587999942476,9.48194885903471e-05,0.015670022554695608,cuda
8,0.0020374654000079317,0.0019883759498259173,0.003995681693777442,cuda
10,0.010507858400006852,0.00010345845909652619,0.000992885383311659,cuda
11,0.06324608159999912,0.010248926115034288,0.0004929633054416626,cuda
12,0.36008809720000273,0.002127421070117579,0.0002442258090013638,cuda
